iter	Passed	Remaining
579	1859	1346
580	1862	1343
581	1866	1340
582	1869	1336
583	1871	1333
584	1875	1330
585	1878	1327
586	1882	1324
587	1886	1322
588	1891	1319
589	1894	1316
590	1898	1313
591	1901	1310
592	1904	1307
593	1908	1304
594	1911	1301
595	1914	1297
596	1917	1294
597	1920	1291
598	1923	1287
599	1926	1284
600	1929	1280
601	1932	1277
602	1935	1274
603	1938	1270
604	1941	1267
605	1944	1264
606	1947	1260
607	1950	1257
608	1953	1254
609	1955	1250
610	1958	1247
611	1961	1243
612	1965	1240
613	1967	1237
614	1970	1233
615	1973	1230
616	1976	1227
617	1980	1223
618	1983	1220
619	1985	1217
620	1988	1213
621	1991	1210
622	1994	1206
623	1997	1203
624	2000	1200
625	2003	1196
626	2006	1193
627	2009	1190
628	2012	1186
629	2014	1183
630	2018	1180
631	2020	1176
632	2024	1173
633	2027	1170
634	2029	1166
635	2033	1163
636	2036	1160
637	2039	1157
638	2042	1153
639	2045	1150
640	2048	1147
641	2050	1143
642	2054	1140
643	2057	1137
644	2060	1133
645	2062	1130
646	2065	1127
647	2068	1123
648	2071	1120
649	2074	1117
650	2077	1113
651	2080	1110
652	2083	1107
653	2086	1103
654	2089	1100
655	2092	1097
656	2095	1093
657	2098	1090
658	2101	1087
659	2105	1084
660	2109	1081
661	2113	1079
662	2117	1076
663	2120	1073
664	2124	1070
665	2128	1067
666	2132	1064
667	2135	1061
668	2138	1058
669	2141	1054
670	2144	1051
671	2147	1048
672	2150	1044
673	2153	1041
674	2156	1038
675	2159	1035
676	2162	1031
677	2165	1028
678	2168	1025
679	2171	1021
680	2174	1018
681	2177	1015
682	2179	1011
683	2182	1008
684	2185	1005
685	2188	1001
686	2191	998
687	2194	995
688	2197	991
689	2200	988
690	2203	985
691	2206	981
692	2209	978
693	2211	975
694	2215	972
695	2218	968
696	2220	965
697	2223	962
698	2226	958
699	2229	955
700	2232	952
701	2235	949
702	2238	945
703	2241	942
704	2244	939
705	2247	935
706	2250	932
707	2253	929
708	2256	925
709	2259	922
710	2262	919
711	2265	916
712	2267	912
713	2270	909
714	2273	906
715	2276	902
716	2279	899
717	2283	896
718	2286	893
719	2290	890
720	2293	887
721	2297	884
722	2300	881
723	2303	878
724	2306	874
725	2309	871
726	2313	868
727	2316	865
728	2319	862
729	2322	859
730	2326	856
731	2329	852
732	2332	849
733	2335	846
734	2338	843
735	2342	840
736	2345	837
737	2348	833
738	2351	830
739	2355	827
740	2358	824
741	2361	821
742	2364	817
743	2367	814
744	2371	811
745	2375	808
746	2379	805
747	2382	802
748	2385	799
749	2389	796
750	2392	793
751	2395	789
752	2398	786
753	2402	783
754	2405	780
755	2408	777
756	2411	774
757	2415	771
758	2418	767
759	2421	764
760	2424	761
761	2427	758
762	2431	755
763	2434	752
764	2437	748
765	2440	745
766	2443	742
767	2447	739
768	2450	736
769	2453	732
770	2456	729
771	2459	726
772	2463	723
773	2466	720
774	2468	716
775	2472	713
776	2475	710
777	2479	707
778	2482	704
779	2485	701
780	2488	697
781	2491	694
782	2494	691
783	2498	688
784	2503	685
785	2508	683
786	2514	680
787	2518	677
788	2524	675
789	2529	672
790	2532	669
791	2535	666
792	2538	662
793	2541	659
794	2544	656
795	2547	652
796	2551	649
797	2553	646
798	2556	643
799	2559	639
800	2562	636
801	2565	633
802	2568	630
803	2571	626
804	2574	623
805	2577	620
806	2580	617
807	2583	613
808	2586	610
809	2589	607
810	2592	604
811	2595	600
812	2597	597
813	2600	594
814	2603	591
815	2606	587
816	2609	584
817	2612	581
818	2615	578
819	2618	574
820	2621	571
821	2624	568
822	2627	565
823	2630	561
824	2632	558
825	2635	555
826	2638	552
827	2641	548
828	2644	545
829	2647	542
830	2650	538
831	2653	535
832	2656	532
833	2659	529
834	2661	526
835	2664	522
836	2667	519
837	2671	516
838	2673	513
839	2676	509
840	2679	506
841	2683	503
842	2687	500
843	2690	497
844	2692	493
845	2695	490
846	2699	487
847	2702	484
848	2705	481
849	2708	477
850	2711	474
851	2715	471
852	2718	468
853	2721	465
854	2724	461
855	2727	458
856	2732	455
857	2735	452
858	2737	449
859	2740	446
860	2744	443
861	2748	439
862	2751	436
863	2753	433
864	2757	430
865	2760	427
866	2763	423
867	2766	420
868	2770	417
869	2774	414
870	2777	411
871	2780	408
872	2783	404
873	2787	401
874	2790	398
875	2794	395
876	2797	392
877	2800	389
878	2803	385
879	2806	382
880	2809	379
881	2812	376
882	2815	373
883	2819	369
884	2822	366
885	2825	363
886	2828	360
887	2832	357
888	2835	354
889	2838	350
890	2841	347
891	2844	344
892	2848	341
893	2852	338
894	2855	334
895	2858	331
896	2861	328
897	2864	325
898	2867	322
899	2870	318
900	2873	315
901	2876	312
902	2879	309
903	2882	306
904	2885	302
905	2888	299
906	2891	296
907	2894	293
908	2897	290
909	2900	286
910	2903	283
911	2906	280
912	2909	277
913	2912	274
914	2915	270
915	2918	267
916	2921	264
917	2924	261
918	2927	258
919	2930	254
920	2933	251
921	2936	248
922	2939	245
923	2942	242
924	2945	238
925	2948	235
926	2951	232
927	2954	229
928	2957	226
929	2960	222
930	2963	219
931	2966	216
932	2968	213
933	2971	209
934	2974	206
935	2977	203
936	2980	200
937	2983	197
938	2986	194
939	2989	190
940	2992	187
941	2995	184
942	2998	181
943	3001	178
944	3003	174
945	3006	171
946	3009	168
947	3012	165
948	3015	162
949	3018	158
950	3021	155
951	3024	152
952	3027	149
953	3030	146
954	3033	142
955	3036	139
956	3039	136
957	3042	133
958	3044	130
959	3047	126
960	3050	123
961	3053	120
962	3056	117
963	3059	114
964	3062	111
965	3065	107
966	3068	104
967	3071	101
968	3074	98
969	3077	95
970	3080	91
971	3083	88
972	3086	85
973	3089	82
974	3092	79
975	3094	76
976	3097	72
977	3100	69
978	3103	66
979	3106	63
980	3109	60
981	3112	57
982	3115	53
983	3118	50
984	3121	47
985	3124	44
986	3127	41
987	3130	38
988	3133	34
989	3136	31
990	3139	28
991	3142	25
992	3145	22
993	3148	19
994	3151	15
995	3154	12
996	3157	9
997	3160	6
998	3163	3
999	3166	0
6584	231
966	6590	224
967	6596	218
968	6602	211
969	6609	204
970	6614	197
971	6620	190
972	6625	183
973	6633	177
974	6639	170
975	6644	163
976	6650	156
977	6656	149
978	6662	142
979	6667	136
980	6673	129
981	6678	122
982	6683	115
983	6688	108
984	6692	101
985	6696	95
986	6702	88
987	6707	81
988	6712	74
989	6717	67
990	6721	61
991	6725	54
992	6729	47
993	6733	40
994	6737	33
995	6741	27
996	6746	20
997	6749	13
998	6753	6
999	6757	0
